8867,SYNJ1,O43426
64430,PCNX4,Q63HM2
27229,TUBGCP4,Q9UGJ1
11034,DSTN,P60981
145581,LRFN5,Q96NI6
29959,NRBP1,Q9UHY1
5932,RBBP8,Q99708
55860,ACTR10,Q9NZ32
51382,ATP6V1D,Q9Y5K8
84661,DPY30,Q9C005
51371,POMP,Q9Y244
63875,MRPL17,Q9NRX2
152518,NFXL1,Q6ZNB6
64766,S100PBP,Q96BU1
817,CAMK2D,Q13557
89894,TMEM116,Q8NCL8
8562,DENR,O43583
1033,CDKN3,Q16667
51322,WAC,Q9BTA9
55081,IFT57,Q9NWB7
375616,KCP,Q6ZWJ8
5191,PEX7,O00628
2130,EWSR1,Q01844
51060,TXNDC12,O95881
23172,ABRAXAS2,Q15018
4826,NNAT,Q16517
7027,TFDP1,Q14186
9367,RAB9A,P51151
84640,USP38,Q8NB14
4718,NDUFC2,O95298
55148,UBR7,Q8N806
60592,SCOC,Q9UIL1
728661,SLC35E2B,P0CK96
5934,RBL2,Q08999
6319,SCD,O00767
4077,NBR1,Q14596
167826,OLIG3,Q7RTU3
27072,VPS41,P49754
140691,TRIM69,Q86WT6
50999,TMED5,Q9Y3A6
10474,TADA3,O75528
256309,CCDC110,Q8TBZ0
79921,TCEAL4,Q96EI5
23608,MKRN1,Q9UHC7
8649,LAMTOR3,Q9UHA4
51031,GLOD4,Q9HC38
10580,SORBS1,Q9BX66
126070,ZNF440,Q8IYI8
56929,FEM1C,Q96JP0
56127,PCDHB9,Q9Y5E1
27018,BEX3,Q00994
3799,KIF5B,P33176
79693,YRDC,Q86U90
388536,ZNF790,Q6PG37
27147,DENND2A,Q9ULE3
374,AREG,P15514
10536,P3H3,Q8IVL6
55907,CMAS,Q8NFW8
4013,VWA5A,O00534
5693,PSMB5,P28074
54386,TERF2IP,Q9NYB0
10184,LHFPL2,Q6ZUX7
9782,MATR3,P43243
79841,AGBL2,Q5U5Z8
55719,SLF2,Q8IX21
8726,EED,O75530
57728,WDR19,Q8NEZ3
55228,PNMA8A,Q86V59
26019,UPF2,Q9HAU5
59343,SENP2,Q9HC62
51455,REV1,Q9UBZ9
56951,KCT2,Q8NC54
85476,GFM1,Q96RP9
10808,HSPH1,Q92598
3766,KCNJ10,P78508
80135,RPF1,Q9H9Y2
10648,SCGB1D1,O95968
160728,SLC5A8,Q8N695
5824,PEX19,P40855
55829,SELENOS,Q9BQE4
83882,TSPAN10,Q9H1Z9
51380,CSAD,Q9Y600
6498,SKIL,P12757
256051,ZNF549,Q6P9A3
152330,CNTN4,Q8IWV2
84103,C4orf17,Q53FE4
84298,LLPH,Q9BRT6
6827,SUPT4H1,P63272
55536,CDCA7L,Q96GN5
359,AQP2,P41181
8821,INPP4B,O15327
8500,PPFIA1,Q13136
8615,USO1,O60763
221830,TWISTNB,Q3B726
9051,PSTPIP1,O43586
55031,USP47,Q96K76
343069,HNRNPCL1,O60812
56254,RNF20,Q5VTR2
892,CCNC,P24863
139341,FUNDC1,Q8IVP5
113174,SAAL1,Q96ER3
79866,BORA,Q6PGQ7
59348,ZNF350,Q9GZX5
9443,MED7,O43513
29093,MRPL22,Q9NWU5
54453,RIN2,Q8WYP3
5172,SLC26A4,O43511
23094,SIPA1L3,O60292
81688,C6orf62,Q9GZU0
22948,CCT5,P48643
10063,COX17,Q14061
6477,SIAH1,Q8IUQ4
9759,HDAC4,P56524
94239,H2AZ2,Q71UI9
60491,NIF3L1,Q9GZT8
79770,TXNDC15,Q96J42
55130,ARMC4,Q5T2S8
58495,OVOL2,Q9BRP0
54965,PIGX,Q8TBF5
23673,STX12,Q86Y82
34,ACADM,P11310
9694,EMC2,Q15006
55640,FLVCR2,Q9UPI3
6518,SLC2A5,P22732
372,ARCN1,P48444
4053,LTBP2,Q14767
91526,ANKRD44,Q8N8A2
79862,ZNF669,Q96BR6
84190,METTL25,Q8N6Q8
165055,CCDC138,Q96M89
84173,ELMOD3,Q96FG2
285676,ZNF454,Q8N9F8
6259,RYK,P34925
5933,RBL1,P28749
1653,DDX1,Q92499
10667,FARS2,O95363
3150,HMGN1,P05114
51522,TMEM14C,Q9P0S9
241,ALOX5AP,P20292
26996,GPR160,Q9UJ42
10801,SEPTIN9,Q9UHD8
51000,SLC35B3,Q9H1N7
1937,EEF1G,P26641
10390,CEPT1,Q9Y6K0
55745,AP5M1,Q9H0R1
2257,FGF12,P61328
138639,PTPDC1,A2A3K4
123872,DNAAF1,Q8NEP3
23417,MLYCD,O95822
10915,TCERG1,O14776
84466,MEGF10,Q96KG7
6208,RPS14,P62263
1062,CENPE,Q02224
115123,MARCHF3,Q86UD3
79830,ZMYM1,Q5SVZ6
10550,ARL6IP5,O75915
83440,ADPGK,Q9BRR6
3200,HOXA3,O43365
7818,DAP3,P51398
168850,ZNF800,Q2TB10
29940,DSE,Q9UL01
80008,TMEM156,Q8N614
10283,CWC27,Q6UX04
65985,AACS,Q86V21
6738,RO60,P10155
10765,KDM5B,Q9UGL1
134121,C5orf49,A4QMS7
64852,TUT1,Q9H6E5
147744,TMEM190,Q8WZ59
57408,LRTM1,Q9HBL6
3598,IL13RA2,Q14627
255783,INAFM1,C9JVW0
6124,RPL4,P36578
4048,LTA4H,P09960
7267,TTC3,P53804
55486,PARL,Q9H300
10775,POP4,O95707
57175,CORO1B,Q9BR76
92999,ZBTB47,Q9UFB7
56889,TM9SF3,Q9HD45
29922,NME7,Q9Y5B8
51218,GLRX5,Q86SX6
22931,RAB18,Q9NP72
9877,ZC3H11A,O75152
8100,IFT88,Q13099
6204,RPS10,P46783
3375,IAPP,P10997
10728,PTGES3,Q15185
10096,ACTR3,P61158
90592,ZNF700,Q9H0M5
79661,NEIL1,Q96FI4
84888,SPPL2A,Q8TCT8
2710,GK,P32189
9821,RB1CC1,Q8TDY2
9208,LRRFIP1,Q32MZ4
1069,CETN2,P41208
8664,EIF3D,O15371
144811,LACC1,Q8IV20
1368,CPM,P14384
3612,IMPA1,P29218
58486,ZBED5,Q49AG3
51097,SCCPDH,Q8NBX0
23174,ZCCHC14,Q8WYQ9
515,ATP5PB,P24539
27230,SERP1,Q9Y6X1
51185,CRBN,Q96SW2
51601,LIPT1,Q9Y234
79611,ACSS3,Q9H6R3
51366,UBR5,O95071
143384,CACUL1,Q86Y37
506,ATP5F1B,P06576
64089,SNX16,P57768
10112,KIF20A,O95235
7364,UGT2B7,P16662
5095,PCCA,P05165
55744,COA1,Q9GZY4
399979,SNX19,Q92543
9774,BCLAF1,Q9NYF8
6480,ST6GAL1,P15907
23406,COTL1,Q14019
64965,MRPS9,P82933
10483,SEC23B,Q15437
80335,WDR82,Q6UXN9
4692,NDN,Q99608
5213,PFKM,P08237
10979,FERMT2,Q96AC1
6202,RPS8,P62241
9559,VPS26A,O75436
253558,LCLAT1,Q6UWP7
11163,NUDT4B,A0A024RBG1
11163,NUDT4,Q9NZJ9
255762,PDZD9,Q8IXQ8
6175,RPLP0,P05388
1452,CSNK1A1,P48729
60488,MRPS35,P82673
90701,SEC11C,Q9BY50
29994,BAZ2B,Q9UIF8
5688,PSMA7,O14818
55325,UFSP2,Q9NUQ7
138255,C9orf135,Q5VTT2
3670,ISL1,P61371
79724,ZNF768,Q9H5H4
91289,LMF2,Q9BU23
6717,SRI,P30626
10554,AGPAT1,Q99943
6788,STK3,Q13188
